# ema_long, ema_short, sma_long, sma_short, target
1.927918328979938423e+01,8.039532577093837062e+00,3.333406390225526650e+01,7.083425463938862521e+00,3.057376930022666528e+00
4.538092929324598401e+01,8.922675130172704527e+00,5.095984569112724927e+01,6.539368816902976000e+00,3.004928979976523085e+00
3.309009499653748776e+01,8.051395520596763333e+00,5.824931896536664055e+01,1.937461988034129723e+00,2.772813351395247317e+00
2.280361099831876359e+01,2.856227097335353626e+00,5.547106340552715409e+01,2.772766248151400159e+00,1.041983671127522548e+00
1.975089333366989308e+01,8.046429791700706602e+00,4.262958596609144735e+01,8.613083260661127838e+00,3.378379736613340789e+00
5.409031657569860840e+01,4.151020544013115376e+00,4.234644198803361803e+01,1.912359360479124692e+00,2.554452730107406033e+00
1.764700995632995983e+01,9.414176108949995125e+00,2.308961594607699652e+01,6.255152830523820207e+00,2.240902969996704019e+00
3.155246953431682755e+01,7.194193615127127295e+00,2.317567595950261961e+01,6.458693217400681696e+00,3.632018081329195347e+00
5.283044329695457009e+01,9.613160700119394164e+00,1.241042627619198768e+01,6.277473784755339459e+00,3.667725800631850941e+00
3.403073908799331093e+01,2.510899973083101422e+00,5.825097681023056140e+01,5.214461113034633222e+00,2.447196523160884318e+00
4.517335132485171556e+01,1.000000000000000000e+01,2.928634212209430387e+01,1.000000000000000000e+01,1.884524463307553077e+00
4.056522423132761190e+01,2.000000000000000000e+00,1.100000000000000000e+01,1.000000000000000000e+00,6.041148355829162320e-02
3.238949217346593201e+01,8.852024120350202807e+00,3.942259834425240683e+01,2.658466835438726417e+00,3.419900565983077900e+00
2.993357006141028620e+01,2.000000000000000000e+00,3.482762351702637460e+01,1.000000000000000000e+01,2.412588675787310066e+00
6.000000000000000000e+01,1.000000000000000000e+01,1.978424974829876604e+01,1.242760701495899900e+00,2.579766137497630396e+00
3.199822075604171445e+01,1.000000000000000000e+01,4.830314995858171301e+01,1.000000000000000000e+01,2.153140710686570536e+00
2.880568769884529701e+01,1.000000000000000000e+01,2.900854529776667334e+01,1.000000000000000000e+00,2.685969873620496884e+00
4.037721038414797903e+01,2.000000000000000000e+00,4.627823245560662002e+01,1.000000000000000000e+00,2.678686380710562531e+00
6.000000000000000000e+01,4.235811796452635392e+00,1.100000000000000000e+01,1.000000000000000000e+01,2.743196529452800014e+00
4.940029415051392903e+01,3.920159003844083667e+00,6.000000000000000000e+01,1.000000000000000000e+00,3.505678330521755814e+00
5.949244919595501813e+01,1.000000000000000000e+01,5.599839836657409364e+01,1.000000000000000000e+00,2.772761657038880667e+00
5.584867438641686732e+01,2.000000000000000000e+00,5.711572876483251093e+01,1.000000000000000000e+01,3.401526226354799398e+00
5.032802262157306927e+01,1.000000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,3.991379760416092548e+00
4.589067465154198544e+01,2.000000000000000000e+00,6.000000000000000000e+01,1.000000000000000000e+01,4.287524509547065321e+00
4.128626604587165616e+01,1.000000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,4.485346304744008528e+00
4.343005523811655166e+01,1.000000000000000000e+01,6.000000000000000000e+01,3.259621393332992501e+00,3.694139300033205231e+00
