# sma_short, sma_long, target
9.376092781981512303e+00,3.391212585352552367e+01,1.370879193018727848e+00
7.307597258234566517e+00,3.469286917108726698e+01,3.367480742495438495e+00
6.618681286246568263e+00,3.234752373475975418e+01,2.741287253889572728e+00
2.031294214844122425e+00,5.318313354360306988e+01,5.656273468830645967e-01
5.181464496754394133e+00,4.554617708045667968e+01,2.644822464993254574e+00
4.549898838507189680e+00,3.494206877504979047e+01,2.934065694518991574e+00
6.311731438213523226e+00,3.913299420408478113e+01,3.042817169714840730e+00
2.332447271894167784e+00,4.175985193460556388e+01,2.418607521617428979e+00
9.312299708458272818e+00,4.310104444685558178e+01,3.382580966937505540e+00
1.000000000000000000e+01,4.739062601506901728e+01,2.110583327910662721e+00
1.000000000000000000e+01,3.954305521218464037e+01,2.009572936735965598e+00
6.398060033410140512e+00,4.254936829332545756e+01,3.366811985269790419e+00
1.515939006370302433e+00,2.881353912065121747e+01,2.244802965921218529e+00
5.119949365830517962e+00,2.468948684179013853e+01,2.990093945661632446e+00
1.000000000000000000e+00,2.246040371830485682e+01,7.833846199775735819e-01
9.615499679404944544e+00,2.323584249664570578e+01,1.543913255751799829e+00
6.242116761925525559e+00,2.773715909412297620e+01,3.450921782441412233e+00
7.027987568665718499e+00,1.614722970524901058e+01,2.523251556774536830e+00
1.000000000000000000e+01,1.186561454985085717e+01,2.150535490361417779e+00
4.223578451870354300e+00,1.146351053321127189e+01,8.605800351895664946e-01
1.000000000000000000e+01,1.718304915501993690e+01,3.097643419620832894e+00
1.000000000000000000e+01,5.587900731861658699e+01,3.849834269218283644e+00
1.000000000000000000e+01,5.982945457600688144e+01,3.864414821892619756e+00
6.733810198631941191e+00,5.835904043568753963e+01,2.454632726900423556e+00
8.370554412340281303e+00,5.268655969300384356e+01,3.325636007994650534e+00
1.000000000000000000e+01,5.796564694183439315e+01,3.725028803413418022e+00
1.000000000000000000e+01,5.296077688178976217e+01,3.691929201832443219e+00
6.647054017062207443e+00,1.999713379989672646e+01,4.032176084204333932e+00
4.289595535469265641e+00,1.902909602742005291e+01,1.566342596148750932e+00
8.621271523173522411e+00,1.954620693570391055e+01,3.766319913179933199e+00
1.000000000000000000e+00,3.755983690255769147e+01,1.525524213886599867e+00
6.766635085550530171e+00,2.180891389839044336e+01,4.079554713851788250e+00
4.446759794996980375e+00,2.952968463981584080e+01,2.794614774421769532e+00
1.000000000000000000e+00,4.638203962615776987e+01,2.427492163098811773e+00
8.073543384333898842e+00,5.522436300822179334e+01,3.439994375205941424e+00
1.000000000000000000e+00,6.000000000000000000e+01,1.517302239633197214e+00
5.663753538209908456e+00,4.943189453423627100e+01,3.256825787661045801e+00
1.000000000000000000e+00,3.258621488563377255e+01,1.946874068530749735e+00
8.956377498422975592e+00,2.830451628648145501e+01,3.254958593449220672e+00
3.085378789878417294e+00,4.877020653407087991e+01,5.913031656532408142e-01
7.977020110388645335e+00,4.967892939370997851e+01,2.911508336929702345e+00
7.858824785219782783e+00,4.510615865064176688e+01,3.488387924174086052e+00
7.616989852510690717e+00,2.590852431861651084e+01,3.429678209403856926e+00
6.652852319018469629e+00,3.669501467203694745e+01,2.939157588869351301e+00
8.385867498756956806e+00,6.000000000000000000e+01,2.588388667954605538e+00
